Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-3,-1,-2,-5,12,-3,-7,-6
-4,-7,-7,-26,-27,-13,-4,-7
-3,-6,-10,-15,8,8,5,1
-1,-6,-16,22,4,-3,1,-6
-1,-1,-4,-37,-14,-1,-4,-1
0,0,1,10,2,-26,-7,-4
-4,-1,3,-27,-16,7,-4,-3
1,7,3,-23,-9,21,3,1
-1,1,3,-17,-12,14,1,-5
-8,-10,-1,30,2,-2,3,-5
0,2,-1,29,32,1,-2,0
3,9,-5,-15,3,-1,-2,4
-4,-4,-4,-9,1,0,2,-8
0,-3,0,1,-4,-12,-5,-1
-7,-7,-11,-9,-7,-8,-8,-7
-3,-2,-5,-19,-25,-13,-8,-5
-3,-4,-3,1,-4,-17,-5,-5
-1,1,8,-4,-3,2,-4,-4
-4,-1,-4,-2,15,2,2,-1
-4,-3,2,11,-13,-13,-5,-6
-3,-1,-22,-41,-16,-10,11,-1
-5,-10,-19,-51,-30,-17,-15,-4
-4,-4,16,21,-5,-11,-10,-12
-3,0,2,55,14,11,35,0
6,5,0,-9,15,17,-35,15
-5,-6,-6,-10,-9,-16,-1,-2
-3,-6,-4,5,2,-5,8,-5
0,-7,-7,-2,-9,-1,-9,-4
2,-1,2,-22,-9,-6,-6,3
4,7,4,16,17,26,-11,-2
1,1,7,5,-5,-10,27,-2
-6,-9,-19,-25,-9,3,36,7
-1,-9,-29,-12,10,8,-3,3
-5,2,1,31,0,-15,-19,-9
-3,-1,2,-15,-3,-8,4,-4
-2,-3,-2,-19,-15,5,-20,2
-2,0,8,38,-3,-30,-10,-5
1,1,-7,-29,-8,-3,-7,1
0,-2,0,-16,15,40,7,1
0,1,0,21,-2,14,5,0
-3,0,-8,-15,0,-19,-3,-3
-4,-4,-13,-40,-16,-13,-5,-4
-2,-3,0,14,-16,-11,-7,-5
-1,-3,-1,48,4,-21,-10,-3
2,3,-1,-13,-18,-8,12,2
0,0,10,18,16,27,5,0
-4,-6,-10,-19,-22,-23,-30,-7
-5,-5,-16,-41,0,-14,-20,-9
-5,-5,-5,-5,-9,-3,49,4
